"LineaPedidoID";"PedidoID";"ProductoID";"Cantidad"
"1";"1";"5";"8"
"2";"1";"28";"1"
"3";"1";"29";"6"
"4";"1";"3";"1"
"5";"1";"38";"1"
"6";"1";"44";"9"
"7";"1";"40";"1"
"8";"1";"13";"1"
"9";"1";"1";"8"
"10";"1";"29";"1"
"11";"1";"8";"5"
"12";"1";"23";"5"
"13";"1";"11";"3"
"14";"1";"12";"7"
"15";"1";"50";"2"
"16";"1";"33";"7"
"17";"1";"19";"9"
"18";"1";"3";"1"
"19";"1";"16";"2"
"20";"1";"6";"8"
"21";"2";"34";"2"
"22";"2";"32";"10"
"23";"2";"20";"6"
"24";"2";"19";"5"
"25";"2";"34";"5"
"26";"2";"3";"6"
"27";"2";"43";"4"
"28";"2";"3";"9"
"29";"2";"48";"10"
"30";"2";"1";"1"
"31";"2";"38";"10"
"32";"2";"42";"4"
"33";"2";"48";"5"
"34";"2";"34";"5"
"35";"2";"22";"3"
"36";"2";"39";"8"
"37";"2";"16";"3"
"38";"2";"13";"4"
"39";"2";"19";"4"
"40";"2";"21";"3"
"41";"3";"35";"7"
"42";"3";"13";"7"
"43";"3";"48";"4"
"44";"3";"30";"6"
"45";"3";"33";"1"
"46";"3";"42";"8"
"47";"3";"37";"5"
"48";"3";"49";"4"
"49";"3";"29";"5"
"50";"3";"46";"1"
"51";"3";"2";"5"
"52";"3";"47";"10"
"53";"3";"4";"7"
"54";"3";"26";"4"
"55";"3";"20";"1"
"56";"3";"7";"1"
"57";"3";"35";"5"
"58";"3";"29";"5"
"59";"3";"11";"2"
"60";"3";"50";"2"
"61";"4";"21";"4"
"62";"4";"47";"4"
"63";"4";"50";"5"
"64";"4";"29";"3"
"65";"4";"1";"8"
"66";"4";"2";"8"
"67";"4";"3";"1"
"68";"4";"44";"9"
"69";"4";"44";"9"
"70";"4";"41";"9"
"71";"4";"7";"8"
"72";"4";"38";"5"
"73";"4";"37";"2"
"74";"4";"30";"1"
"75";"4";"16";"3"
"76";"4";"17";"5"
"77";"4";"5";"2"
"78";"4";"7";"6"
"79";"4";"26";"6"
"80";"4";"17";"6"
"81";"5";"36";"2"
"82";"5";"15";"1"
"83";"5";"18";"4"
"84";"5";"5";"5"
"85";"5";"1";"4"
"86";"5";"3";"7"
"87";"5";"22";"2"
"88";"5";"19";"9"
"89";"5";"22";"5"
"90";"5";"44";"5"
"91";"5";"41";"8"
"92";"5";"2";"1"
"93";"5";"1";"10"
"94";"5";"34";"5"
"95";"5";"32";"9"
"96";"5";"42";"10"
"97";"5";"42";"1"
"98";"5";"9";"5"
"99";"5";"26";"2"
"100";"5";"40";"4"
"101";"6";"34";"3"
"102";"6";"31";"4"
"103";"6";"40";"9"
"104";"6";"48";"4"
"105";"6";"10";"6"
"106";"6";"4";"2"
"107";"6";"14";"2"
"108";"6";"2";"9"
